listing_id,date
31758630,2024-05-24
1008223,2023-07-16
1311715547335267464,2025-04-27
16583033,2024-01-02
775655,2014-06-24
14311105,2017-04-02
905677609043113133,2023-11-06
841161794560579808,2024-07-13
17470838,2024-11-11
13687342,2023-08-01
4523624,2018-07-21
14479187,2018-07-24
17042462,2023-08-13
655216,2023-05-23
746060021045144380,2024-10-04
1025482,2019-07-29
714152749094633493,2023-10-10
5962744,2017-03-28
21790701,2021-11-02
36513166,2023-12-18
26781097,2022-07-18
20063721,2022-07-31
18798860,2018-06-10
46591985,2023-10-14
841161794560579808,2023-07-23
23768505,2019-09-29
11559431,2017-07-10
4591819,2018-06-18
15213109,2018-11-26
6441316,2019-07-04
930317679534372417,2025-06-15
50383849,2021-08-25
46591985,2025-06-17
694850,2015-12-14
1713474,2017-03-23
6654255,2024-09-11
50383849,2021-07-18
43719104,2025-05-05
23430951,2018-11-04
36445013,2019-09-29
602856492345055461,2024-01-07
47573699,2023-06-22
15276959,2018-07-24
1118798935548272098,2025-08-26
9584580,2023-07-28
15013026,2021-10-09
1798945,2017-07-09
3957639,2018-11-19
4880879,2025-04-22
27793181,2024-11-22
52687629,2022-04-08
769232371185463862,2025-04-13
26029298,2024-06-05
21752144,2023-07-03
608432,2024-08-22
1630438,2018-08-03
8191077,2016-09-01
23552547,2023-12-06
794322,2016-06-17
5609836,2017-06-05
1361391062998732272,2025-03-16
11161348,2023-07-23
30812596,2024-04-01
2861667,2022-07-14
42510929,2021-08-05
759299,2025-01-02
816940,2015-07-26
776905537234102590,2025-04-13
730916,2017-08-20
3508800,2014-11-10
22807669,2019-09-15
21024509,2024-08-25
19581107,2019-05-27
40626325,2022-07-09
7704803,2016-04-11
30177899,2022-07-03
21103093,2017-12-03
26035980,2018-10-29
1088859,2016-10-16
33448591,2019-08-21
33087274,2024-09-09
14325757,2020-08-15
758475,2015-04-15
33980766,2023-09-01
1070157335848888666,2024-07-14
860486908839578363,2023-06-25
708528,2018-08-31
37344101,2020-02-18
46592046,2025-02-18
23314984,2023-11-29
23314984,2024-02-18
24628192,2020-01-06
